ID,Language_ID,Parameter_ID,Form,Segments,Cognacy,Comment,Source
1,Duhumbi,1sg,ga,g a,101,,
2,Duhumbi,2sg,naŋ,n a ŋ,301,,
3,Duhumbi,3sg,wɔj,w ɔ j,501,,
4,Duhumbi,ant,kʰin-ʨʰɔk,kʰ i n + tɕʰ ɔ k,701,,
5,Duhumbi,armhand,hut,h u t,901,,
6,Duhumbi,ash,ʨʰu-pʰak,tɕʰ u + pʰ a k,1101,,
7,Duhumbi,big,ɔ-dɔk,ɔ + d ɔ k,1301,,
8,Duhumbi,bird,hwa,w̥ a,1501,,
9,Duhumbi,bite,zɛk,z ɛ k,1701,,
10,Duhumbi,bitter,ʨʰak-ba,tɕʰ a k + b a,1901,,
11,Duhumbi,black,u-ʨʰam,u + tɕʰ a m,2101,,
12,Duhumbi,blood,hɔj,h ɔ j,2301,,
13,Duhumbi,bone,ɕa-kʰus,ɕ a + kʰ u s,2501,,
14,Duhumbi,breast,nu,n u,2701,,
15,Duhumbi,toburnit,haj,h a j,2901,,
16,Duhumbi,tocarryonback,bu,b u,3101,,
17,Duhumbi,cloud,mukpa,m u k p a,3301,,
18,Duhumbi,tocryweep,kʰip,kʰ i p,3501,,
19,Duhumbi,todie,i,i,3701,,
20,Duhumbi,todomake,le,l e,3901,,
21,Duhumbi,dog,wa-tʰi,w a + tʰ i,4101,,
22,Duhumbi,drink,ɲiŋ,ɲ i ŋ,4301,,
23,Duhumbi,dry,wa-ar,w a + a r,4501,,
24,Duhumbi,ear,kʰu-tʰuŋ,kʰ u + tʰ u ŋ,4701,,
25,Duhumbi,eat,ʨʰa,tɕʰ a,4901,,
26,Duhumbi,egg,hɔj-ʥɔŋ,h ɔ j + dʑ ɔ ŋ,5101,,
27,Duhumbi,eye,kʰu-m,kʰ u + m,5303,,
28,Duhumbi,far,tʰa-u-ɹiŋ,tʰ a + u + ɹ i ŋ,5501,,
29,Duhumbi,fat,ɔ-jɔw,ɔ + j ɔ w,5701,,
30,Duhumbi,fingernail,hut-ʦun,h u t + ts u n,5901,,
31,Duhumbi,fire,bɛj,b ɛ j,6101,,
32,Duhumbi,fish,ŋa,ŋ a,6301,,
33,Duhumbi,fleshmeat,ɕa,ɕ a,6501,,
34,Duhumbi,tofly,ɕɛɹ,ɕ ɛ ɹ,6701,,
35,Duhumbi,full,pɕiŋ-ba,p ɕ i ŋ + b a,6901,,
36,Duhumbi,togive,ɕi,ɕ i,7101,,
37,Duhumbi,togo,wa,w a,7301,,
38,Duhumbi,good,ɔ-ʥɔp,ɔ + dʑ ɔ p,7501,,
39,Duhumbi,haironhead,kʰu-ɕaŋ,kʰ u + ɕ a ŋ,7701,,
40,Duhumbi,hard,kaktar,k a k t a r,7901,,
41,Duhumbi,head,kʰɔ-lɔk,kʰ ɔ + l ɔ k,8101,,
42,Duhumbi,tohear,ʥas,dʑ a s,8301,,
43,Duhumbi,heavy,u-li,u + l i,8501,,
44,Duhumbi,tohide,uk,u k,8701,,
45,Duhumbi,tokill,at,a t,8901,,
46,Duhumbi,horn,kʰɛŋ,kʰ ɛ ŋ,9101,,
47,Duhumbi,house,wam,w a m,9301,,
48,Duhumbi,in,naŋ,n a ŋ,9501,,
49,Duhumbi,knee,kɔːlɔk-pa,k ɔː l ɔ k + p a,9701,,
50,Duhumbi,toknow,dɛn,d ɛ n,9901,,
51,Duhumbi,tolaugh,ʑɛj,ʑ ɛ j,10101,,
52,Duhumbi,leaf,u-lap,u + l a p,10301,,
53,Duhumbi,legfoot,lɛj,l ɛ j,10501,,
54,Duhumbi,liver,ɕa taŋku,ɕ a + t a ŋ k u,10701,,
55,Duhumbi,long,u-riŋ,u + r i ŋ,10901,,
56,Duhumbi,louse,hɛk,h ɛ k,11101,,
57,Duhumbi,moon,nam-ba,n a m + b a,11301,,
58,Duhumbi,mouth,hɔ-ʨu,h ɔ + tɕ u,11501,,
59,Duhumbi,name,biŋ,b i ŋ,11701,,
60,Duhumbi,navel,bɔː-di,b ɔː + d i,11901,,
61,Duhumbi,neck,hɛn-tʰɔŋ,h ɛ n + tʰ ɔ ŋ,12101,,
62,Duhumbi,new,ɔ-kʰɔn,ɔ + kʰ ɔ n,12301,,
63,Duhumbi,nose,hɛm-pʰɔŋ,h ɛ m + pʰ ɔ ŋ,12501,,
64,Duhumbi,not,ba-,b a,12701,,
65,Duhumbi,oldofthings,ɔ-mɛn,ɔ + m ɛ n,12901,,
66,Duhumbi,one,hin,h i n,13101,,
67,Duhumbi,path,huma,h u m a,13301,,
68,Duhumbi,rain,na-mu,n a + m u,13501,,
69,Duhumbi,red,ɔ-kʰek,ɔ + kʰ e k,13701,,
70,Duhumbi,root,ra-ba,r a + b a,13901,,
71,Duhumbi,torun,dur,d u r,14101,,
72,Duhumbi,salt,ha,h a,14301,,
73,Duhumbi,sand,beʦa,b e ts a,14501,,
74,Duhumbi,tosay,in,i n,14701,,
75,Duhumbi,tosee,aj,a j,14901,,
76,Duhumbi,tosit,ʥu,dʑ u,15101,,
